,time,spline,prediction,target
0,0.010740329,840.55005,161.34735,840.55005
1,0.010741861,836.5988,836.5988,502.08167
2,0.010743357,818.53876,818.53876,-103.90878
3,0.010744838,788.4273,289.36194,-229.66335
4,0.010746344,746.94006,746.94006,-92.71934
5,0.01074792,693.563,693.563,990.8221
6,0.010749577,628.48663,123.62705,1136.3921
7,0.010751251,555.60925,555.60925,1330.1117
8,0.010752947,476.76056,476.76056,1195.1599
9,0.010754603,397.1341,6.53563,681.47345
10,0.010756259,317.09872,317.09872,317.09872
11,0.01075788,240.45497,240.45497,561.3565
12,0.010759481,168.4205,-109.67894,1014.1579
13,0.010761086,101.84743,101.84743,940.9552
14,0.010762686,43.07513,43.07513,582.35364
15,0.010764275,-5.846392,35.21161,89.77152
16,0.010765861,-43.364735,-43.364735,-283.4041
17,0.010767436,-67.5484,-67.5484,-704.10815
18,0.010769019,-76.82948,93.38668,-750.5333
19,0.010770614,-69.01856,-69.01856,-437.83566
20,0.002200074,-51.38282,-51.38282,-51.38282
21,0.002201603,-112.675255,217.6588,252.87086
22,0.002203141,-143.66447,-143.66447,375.89032
23,0.002204697,-147.14035,-147.14035,207.09872
24,0.002206301,-125.03359,601.3639,182.19844
25,0.002207887,-81.22188,-81.22188,-33.493732
26,0.002209453,-20.151964,-20.151964,-14.615401
27,0.002211022,55.215195,362.6251,-201.20207
28,0.00221263,143.45988,143.45988,-197.38803
29,0.002214236,238.91965,238.91965,176.54509
30,0.002215837,337.56946,75.17717,337.56946
31,0.002217412,434.33902,434.33902,-23.672789
32,0.002218998,527.8371,527.8371,-203.3987
33,0.002220604,614.7229,-129.95435,-276.41824
34,0.002222232,690.8974,690.8974,-132.60966
35,0.002223844,750.6277,750.6277,-61.05331
36,0.002225427,790.336,-418.33185,-326.0044
37,0.00222695,807.38824,807.38824,-327.83243
38,0.002228468,800.4642,800.4642,282.87534
39,0.002230034,764.87665,-85.25737,653.4758
40,0.002231606,696.5699,696.5699,696.5699
41,0.002233156,595.84235,595.84235,381.0246
42,0.002234742,465.71097,57.310932,341.53397
