,time,prediction,target
0,0.002201603,-0.009075757,-0.024742553
1,0.002203141,0.01427331,-0.11449319
2,0.002204697,0.0031073168,-0.04906703
3,0.002206301,0.02789081,-0.10406937
4,0.002207887,-0.036672954,-0.09320673
5,0.002209453,0.10803872,0.0165226
6,0.002211022,-0.059857752,0.06619899
7,0.00221263,-0.010447622,0.027562685
8,0.002214236,-0.014758309,0.015847076
9,0.002215837,0.010571953,-0.0018197251
10,0.002217412,0.017256202,-0.09116385
11,0.002218998,-0.01613297,-0.12159767
12,0.002220604,0.01742221,-0.136314
13,0.002222232,-0.09755482,-0.13312118
14,0.002223844,0.08273764,-0.068005644
15,0.002225427,-0.008690555,-0.038731433
16,0.00222695,-0.16291381,0.0012302818
17,0.002228468,-0.04342007,0.050904676
18,0.002230034,0.2056129,0.01915211
19,0.002231606,-0.006869141,0.024616886
20,0.002233156,-0.053736653,0.11496847
21,0.002234742,-0.0073616914,0.18652162
22,0.002236358,0.16231777,-0.07456277
23,0.002237961,0.030861057,-0.1129334
24,0.002239559,-0.013109697,-0.3763523
25,0.002241175,0.0708121,-0.45574972
26,0.002242764,-0.0053035375,-0.20641257
27,0.002244336,-0.089571975,-0.0023557486
28,0.002245947,0.02434796,0.0039027417
29,0.002247575,0.042257175,-0.16866419
30,0.002249224,0.01303675,-0.11697754
31,0.002250836,-0.020033706,0.06840068
32,0.002252395,-0.011923313,-0.027230235
33,0.002253906,-0.106140725,-0.054037068
34,0.002255378,0.05008687,-0.18575002
35,0.002256828,-0.029437646,-0.18822172
36,0.002258298,-0.057727545,-0.0672076
37,0.002259814,-0.0190585,0.00931791
38,0.002261363,0.15939061,-0.10498227
39,0.002262882,-0.036998607,-0.08965134
40,0.002264405,0.04490844,0.084157445
41,0.002265955,0.0607267,0.1383018
42,0.00226749,0.121197365,0.040597044
43,0.002269034,-0.058431897,-0.07547368
44,0.002270573,-0.10006228,0.0125417095
45,0.002272122,-0.04042452,0.2046765
46,0.002273711,-0.04906602,0.049417127
47,0.002275292,-0.035341475,-0.17377873
48,0.002276886,0.06502691,-0.14448054
49,0.002278541,-0.09148114,-0.09148114
50,0.002280227,-0.009082083,-0.2382933
51,0.002281963,0.013247274,-0.31385964
52,0.002283669,0.0036784206,-0.3594263
53,0.002285286,0.030053021,-0.16523264
54,0.002286842,-0.03838348,-0.3269203
55,0.002288415,0.10837373,-0.54598176
56,0.002290001,-0.05921706,-0.7939446
57,0.002291578,-0.0128453085,-0.71595186
58,0.002293147,-0.016445829,-0.60359466
59,0.002294743,0.006999254,-0.66555333
60,0.002296375,0.012116073,-0.5052543
61,0.00229797,-0.0174844,-0.19162631
62,0.002299517,0.02119663,-0.1132397
63,0.002301068,-0.0943532,-0.08954446
64,0.002302662,0.08183746,-0.050373133
65,0.002304235,-0.0058027245,-0.24123146
66,0.002305733,-0.16301124,-0.1460157
67,0.002307235,-0.043783657,-0.09740936
68,0.00230879,0.20376822,-0.046974543
69,0.002310371,-0.010414936,-0.15339053
