,time,prediction,target
0,0.002200367,-933.1346,-946.9554
1,0.002202058,-731.58124,-874.1819
2,0.002203771,-429.77805,-606.3968
3,0.002205414,-100.238556,43.044613
4,0.002206975,-101.32601,703.82196
5,0.002208506,-3.0869613,913.2829
6,0.002210057,762.3981,780.9313
7,0.002211659,394.03958,358.19305
8,0.002213252,67.87935,48.528988
9,0.002214841,-138.72784,-49.935852
10,0.002216448,-227.08252,-274.44366
11,0.002218062,16.993912,-205.20929
12,0.002219656,251.11246,154.00555
13,0.002221222,411.8008,411.5368
14,0.002222794,-26.344017,89.255554
15,0.002224331,-53.96552,-306.1624
16,0.002225855,-81.2103,-167.31866
17,0.002227403,34.50234,37.872738
18,0.00222895,169.35974,189.05243
19,0.002230496,234.29071,302.99774
20,0.002232099,82.748474,274.13837
21,0.002233776,97.37654,416.2907
22,0.002235436,406.13388,300.31805
23,0.002237094,203.41766,2.5758648
24,0.002238718,221.9328,88.49383
25,0.002240281,404.08926,429.85712
26,0.002241803,668.8607,789.3571
27,0.00224333,598.82306,662.56805
28,0.002244893,378.06094,454.07193
29,0.002246442,660.19806,602.1657
30,0.002247929,896.3137,753.07587
31,0.00224939,388.52283,802.91187
32,0.002250885,936.7826,834.0446
33,0.002252457,1096.7834,1004.5837
34,0.002254101,1241.028,1119.9156
35,0.002255695,1250.9015,1061.8102
36,0.002257252,1192.9231,1142.2087
37,0.002258785,1357.4109,1200.8611
38,0.002260295,1102.4285,1038.0016
39,0.002261837,472.62756,697.7555
40,0.002263393,835.37756,670.9235
41,0.00226496,428.17648,774.4001
42,0.002266521,945.591,728.568
43,0.002268074,609.63916,577.0837
44,0.002269638,329.59296,455.7829
45,0.002271202,245.78976,337.52118
46,0.002272763,330.20026,93.15399
47,0.002274323,147.99207,-245.09991
48,0.002275877,-597.88293,-466.5335
49,0.002277408,-79.47028,-532.68976
50,0.002278937,-392.89758,-343.51398
51,0.0022805,2.4797237,28.32196
52,0.002282093,75.60141,218.2243
53,0.002283682,-153.52881,-64.451485
54,0.00228528,-316.5928,-303.42804
55,0.002286932,-119.67391,-249.82649
56,0.0022886,-188.12302,-85.29913
57,0.002290256,-282.30252,-47.377262
58,0.002291883,-416.12015,-377.56866
59,0.002293498,-894.6306,-697.7054
60,0.002295121,-1279.4756,-957.4632
61,0.002296736,-1195.2762,-1128.7756
62,0.002298372,-376.81842,-1199.0217
63,0.002300001,-1030.1857,-975.5843
