,time,prediction,target
0,0.002209261,-158.16357,-135.00328
1,0.002210846,-192.5609,-185.31187
2,0.002212432,-276.64932,-267.3353
3,0.002214015,-384.73813,-435.29626
4,0.002215546,-308.90125,-299.0658
5,0.002217068,-321.2414,-282.0228
6,0.002218545,-177.78827,-187.92906
7,0.002220023,100.45044,68.80142
8,0.002221559,368.82404,338.7077
9,0.00222312,627.3808,518.196
10,0.002224707,928.9304,795.6491
11,0.002226286,946.8563,1260.2584
12,0.00222785,660.6664,1191.9421
13,0.002229395,720.25543,746.6257
14,0.002230901,290.63986,281.9069
15,0.002232348,170.7869,100.12955
16,0.002233836,117.22594,98.059235
17,0.002235359,69.999916,14.613917
18,0.002236914,203.43658,123.81314
19,0.0022385,511.80487,328.93427
20,0.002240075,673.50555,700.7038
21,0.002241673,1374.4409,970.41864
22,0.00224327,1479.0505,1309.0709
23,0.002244888,1340.1962,1231.4187
24,0.002246535,1295.3237,1154.6726
25,0.002248179,819.84186,878.7858
26,0.002249762,502.1687,512.98895
27,0.002251272,-255.12535,-256.47595
28,0.002252747,-576.7202,-574.41736
29,0.002254229,-1166.0405,-1048.351
30,0.002255758,-637.8013,-697.9369
31,0.002257276,-285.06036,-353.84702
32,0.002258788,-275.53003,-243.10094
33,0.002260325,-237.08507,-306.62048
34,0.002261868,-410.4884,-337.12048
35,0.00226337,-132.50105,-125.10874
36,0.002264859,291.61115,180.40689
37,0.002266369,490.15704,436.4811
38,0.00226792,710.6676,591.821
39,0.002269525,419.29523,444.5788
40,0.002271197,263.52985,272.0319
41,0.002272849,-53.571857,7.039698
42,0.002274464,-258.30893,-232.81578
43,0.002276048,-276.90845,-243.47594
44,0.002277592,-248.729,-170.16344
45,0.002279135,-221.5909,-146.36266
46,0.002280703,-598.1129,-425.8744
47,0.002282306,-458.87155,-466.33923
48,0.002283914,-128.49234,-142.53453
49,0.002285487,170.12885,145.9147
50,0.002287051,-67.21431,-92.51499
51,0.002288582,-57.88484,-81.979836
52,0.002290048,-162.63759,-173.07358
53,0.002291512,-118.791824,-194.33922
54,0.002293004,81.35009,28.649075
55,0.002294549,782.6637,446.8991
56,0.002296133,1090.075,870.98114
57,0.002297671,829.91626,919.0827
58,0.00229922,834.0322,706.028
59,0.002300754,724.94745,618.2858
60,0.002302321,314.64404,326.7858
61,0.002303918,337.65988,306.8483
62,0.002305525,162.85115,120.12955
63,0.0023071,55.266354,-1.3821772
64,0.002308645,72.37928,9.645167
65,0.0023102,125.26195,80.1608
66,0.002311785,56.3693,44.930325
67,0.002313401,-173.32265,-111.886086
68,0.002315019,63.4569,11.121729
69,0.002316611,100.85154,163.65298
70,0.002318195,333.8621,525.7585
71,0.00231977,778.16205,549.7038
72,0.00232133,134.87218,254.87175
73,0.002322907,-298.6052,-114.5775
74,0.002324443,-812.0963,-646.0932
75,0.002325979,-444.29883,-562.6205
76,0.002327515,-623.7581,-599.47986
77,0.002329079,-810.71606,-664.4369
78,0.00233065,-467.99548,-561.1244
79,0.002332202,-711.2533,-508.85486
80,0.002333755,-809.04767,-668.46423
81,0.002335295,-570.3681,-786.72595
82,0.002336844,-278.11597,-216.65562
83,0.002338317,278.76868,385.46942
84,0.00233978,74.61894,221.04752
85,0.002341282,-245.13605,-195.34703
86,0.002342724,-541.87805,-511.61658
87,0.002344165,-501.9764,-668.8118
88,0.002345663,-552.02765,-735.84705
89,0.002347226,-241.188,-185.67125
90,0.002348786,351.68607,379.13348
91,0.002350374,86.142456,220.73111
92,0.00235197,10.843329,-30.366552
93,0.002353501,-506.45712,-416.60486
94,0.002355025,-227.30518,-386.1244
95,0.002356556,5.725801,12.473291
96,0.002358072,173.07793,145.32877
97,0.002359584,-59.286507,-34.374367
98,0.002361094,-178.62242,-141.53452
99,0.00236257,-342.43857,-312.79236
100,0.002364052,-469.40677,-477.24936
101,0.002365596,-1036.5579,-861.23376
102,0.002367249,-640.9563,-736.933
103,0.002368848,-550.57794,-630.2689
104,0.002370419,-380.56033,-427.515
105,0.002371974,-347.38,-419.18298
106,0.002373529,-204.32393,-215.42906
107,0.002375097,27.343077,59.78189
108,0.002376663,208.6641,151.79361
109,0.002378265,131.9824,209.43033
110,0.002379899,49.190655,42.207664
111,0.002381485,-56.315147,-158.73764
112,0.002383021,111.59263,117.44595
113,0.002384554,455.23022,667.41077
114,0.002386101,1065.1923,928.3171
115,0.00238769,534.285,711.3366
116,0.002389311,527.2178,490.00845
117,0.002390926,71.0674,135.59048
118,0.002392408,-96.35226,-146.30406
119,0.002393826,-75.7266,-117.604836
120,0.002395271,-131.63385,-130.28061
121,0.002396802,87.876236,154.59048
122,0.002398408,663.29944,609.4499
123,0.002399998,1071.8937,854.84436
124,0.002401556,1003.28375,781.4772
125,0.00240312,491.16852,624.8171
126,0.002404698,296.84384,322.08267
127,0.002406284,-160.04329,-173.6478
128,0.002407863,-559.1808,-501.80017
129,0.00240946,-454.6354,-481.60483
130,0.002411025,-462.14066,-600.058
131,0.002412592,-497.3807,-489.5931
132,0.002414164,-157.49814,-143.5775
133,0.002415693,138.92911,110.24283
134,0.002417203,-167.9064,-112.35874
135,0.002418724,-145.57343,-146.53844
136,0.002420296,-205.61726,-124.116554
137,0.002421892,222.7498,353.18423
138,0.002423502,777.4254,901.8132
139,0.002425098,919.9787,1022.4421
140,0.002426691,732.0231,741.1257
141,0.002428296,558.85187,561.21545
142,0.002429936,438.85037,421.2194
143,0.002431576,436.35327,393.27798
144,0.002433203,189.68846,259.52408
145,0.002434797,314.1578,206.35222
146,0.002436386,23.829464,177.06706
147,0.002437984,-89.459755,-39.491554
148,0.002439589,-203.15028,-268.55408
149,0.00244116,-635.9571,-478.53455
150,0.002442741,-196.02425,-402.92126
151,0.002444347,-63.17591,-64.886086
152,0.002445984,-21.081635,125.453766
153,0.002447632,32.302776,57.610012
154,0.002449262,112.78452,62.824856
155,0.002450874,257.0892,323.18033
156,0.002452488,752.2109,746.64514
157,0.002454093,285.88937,607.071
158,0.002455681,185.14357,220.55923
159,0.002457268,154.32175,148.30923
160,0.002458867,78.613945,84.676414
161,0.002460439,-72.44009,-46.237648
162,0.002461991,-336.30475,-253.17125
163,0.002463561,-266.51694,-260.19077
