,time,spline,prediction,target
0,0.007918904,-0.32677072,-0.32677072,-0.3467055
1,0.007920402,-0.3278784,-0.3278784,-0.3052577
2,0.007921872,-0.29236197,0.0052197473,-0.29236197
3,0.007923364,-0.21627554,-0.21627554,-0.2227244
4,0.007924861,-0.11761905,-0.11761905,-0.11970324
5,0.007926402,-0.027323237,-0.0022168122,-0.027323237
6,0.007927993,0.028480653,0.028480653,0.003941509
7,0.007929619,0.043377932,0.043377932,0.037584595
8,0.007931259,0.017811336,-0.007841544,0.017811336
9,0.007932928,-0.047573563,-0.047573563,-0.0685814
10,0.007934615,-0.13479465,-0.13479465,-0.21102133
11,0.007936262,-0.22329928,-0.019000638,-0.22329928
12,0.007937861,-0.2897678,-0.2897678,-0.20489933
13,0.007939438,-0.31621832,-0.31621832,-0.28255418
14,0.007941032,-0.28691265,-0.034320146,-0.28691265
15,0.007942631,-0.19742931,-0.19742931,-0.23264496
16,0.007944183,-0.09337165,-0.09337165,-0.11387466
17,0.007945734,-0.036510237,-0.027979702,-0.036510237
18,0.007947221,-0.06192291,-0.06192291,-0.0070409738
19,0.007948675,-0.13925941,-0.13925941,-0.073106535
20,0.007950147,-0.22871865,-0.034270797,-0.22871865
21,0.007951649,-0.29687035,-0.29687035,-0.29077607
22,0.007953178,-0.34444028,-0.34444028,-0.3452673
23,0.007954732,-0.38399744,-0.06162834,-0.38399744
24,0.007956284,-0.42030093,-0.42030093,-0.34117034
25,0.00795784,-0.44583672,-0.44583672,-0.3696126
26,0.007959397,-0.44967973,-0.06497984,-0.44967973
27,0.007960953,-0.42083564,-0.42083564,-0.5007826
28,0.007962493,-0.35735136,-0.35735136,-0.39957193
29,0.007964012,-0.26006523,-0.064623065,-0.26006523
30,0.007965486,-0.14070761,-0.14070761,-0.12739018
31,0.007966926,-0.042634513,-0.042634513,0.0075045284
32,0.00796836,-0.018413693,-0.049798068,-0.018413693
33,0.007969866,-0.098008834,-0.098008834,-0.1859275
34,0.007971467,-0.22064444,-0.22064444,-0.24632716
35,0.007973017,-0.3066899,-0.051314395,-0.3066899
36,0.007974562,-0.3048524,-0.3048524,-0.15091908
37,0.007976146,-0.2516591,-0.2516591,-0.178015
38,0.007977772,-0.19657962,-0.021996785,-0.19657962
