,time,spline,prediction,target
0,0.002200155,-9146.343,-9146.343,-9146.343
1,0.002201775,-4183.5044,-4183.5044,-11475.396
2,0.002203375,-2919.8447,-2919.8447,-7491.905
3,0.002204949,-3836.811,-3836.811,-3836.811
4,0.002206508,-5536.874,-5536.874,-2844.35
5,0.002208068,-6722.966,-6722.966,-4000.0688
6,0.002209623,-6099.7407,-70.04116,-6099.7407
7,0.002211204,-2917.338,-2917.338,-2486.9358
8,0.00221282,1120.7178,1120.7178,2382.5798
9,0.002214458,3394.8455,51.02378,3394.8455
10,0.002216076,2106.3499,2106.3499,-2488.8423
11,0.002217673,-848.3731,-848.3731,-4251.358
12,0.002219273,-2873.4202,259.3092,-2873.4202
13,0.002220819,-2153.8489,-2153.8489,-330.2406
14,0.002222301,153.46663,153.46663,2080.7515
15,0.002223799,2632.2986,517.9422,2632.2986
16,0.002225364,4222.9106,4222.9106,2579.5486
17,0.002226984,5281.154,5281.154,4645.58
18,0.002228608,6686.9395,414.6883,6686.9395
19,0.002230227,9009.39,9009.39,8388.861
20,0.002231839,11315.397,11315.397,12167.439
21,0.002233395,12326.729,71.36771,12326.729
22,0.002234932,11360.315,11360.315,8276.439
23,0.002236484,9054.274,9054.274,4856.689
24,0.002238046,6414.9785,-78.73557,6414.9785
25,0.002239638,4195.0664,4195.0664,6908.5176
26,0.002241233,2153.192,2153.192,2973.7283
27,0.002242733,-109.85777,-87.98452,-109.85777
28,0.002244212,-2936.9924,-2936.9924,-4252.186
29,0.002245712,-5842.2065,-5842.2065,-6842.475
30,0.002247214,-8006.0376,-4.821453,-8006.0376
31,0.002248717,-8868.707,-8868.707,-6485.0527
32,0.00225024,-8798.757,-8798.757,-8797.982
33,0.002251766,-8407.256,260.30896,-8407.256
34,0.002253252,-8146.299,-8146.299,-9014.115
35,0.002254744,-7711.645,-7711.645,-10340.037
36,0.002256243,-6623.037,189.98553,-6623.037
37,0.002257732,-4633.107,-4633.107,-3027.6233
38,0.002259221,-2329.3352,-2329.3352,-2181.2483
39,0.002260697,-527.85,189.62517,-527.85
40,0.002262179,217.94269,217.94269,1313.3142
41,0.00226369,159.92642,159.92642,1925.8142
42,0.002265247,-231.80309,100.1105,-231.80309
43,0.002266825,-545.72205,-545.72205,-4400.178
44,0.002268403,-881.23083,-881.23083,-1434.4984
45,0.002269936,-1455.3345,459.6569,-1455.3345
46,0.002271426,-2340.971,-2340.971,-3526.1467
47,0.002272961,-3182.5269,-3182.5269,-3854.5999
48,0.002274543,-3398.3655,497.595,-3398.3655
49,0.00227614,-2606.0552,-2606.0552,-3861.7954
50,0.002277727,-1523.3942,-1523.3942,-2779.3892
51,0.002279338,-1119.85,418.57422,-1119.85
52,0.002280925,-2035.7561,-2035.7561,-82.4359
53,0.002282449,-3415.548,-3415.548,-1052.1156
54,0.002283964,-4259.7954,337.3382,-4259.7954
55,0.00228548,-3847.3489,-3847.3489,-3476.0923
56,0.002287047,-2452.4907,-2452.4907,346.07193
57,0.002288673,-659.0765,296.59732,-659.0765
58,0.002290254,836.82306,836.82306,-208.22496
59,0.002291807,1904.7783,1904.7783,2300.0093
60,0.002293354,2515.072,734.76764,2515.072
61,0.002294901,2692.1675,2692.1675,1890.3455
62,0.002296469,2765.3015,2765.3015,4989.5645
63,0.002298026,3145.4314,734.28613,3145.4314
64,0.002299601,4064.6504,4064.6504,2173.9626
65,0.002301194,4960.7407,4960.7407,2046.8297
66,0.002302784,5034.361,590.6114,5034.361
67,0.002304373,3794.9204,3794.9204,5624.5405
68,0.002305955,1934.6898,1934.6898,1101.5406
69,0.002307571,394.19693,209.38744,394.19693
70,0.00230921,-23.959896,-23.959896,4139.439
71,0.002310828,395.5168,395.5168,6197.955
72,0.002312482,1097.0406,217.31956,1097.0406
73,0.002314156,1612.361,1612.361,339.736
74,0.002315807,1952.7354,1952.7354,3017.2126
75,0.002317435,2267.4001,11.149482,2267.4001
76,0.002319028,2606.886,2606.886,1326.4547
77,0.002320617,2694.7283,2694.7283,905.5251
78,0.002322185,2180.9548,-27.007858,2180.9548
79,0.002323741,891.23553,891.23553,1130.8141
80,0.002325342,-785.2786,-785.2786,-1988.6547
81,0.002326981,-2201.5454,-91.38603,-2201.5454
82,0.002328596,-2767.9497,-2767.9497,-1446.3109
83,0.002330167,-2543.9568,-2543.9568,-1346.889
84,0.002331731,-1704.8656,-117.87382,-1704.8656
85,0.002333297,-426.89505,-426.89505,-1375.9437
86,0.002334883,981.9008,981.9008,918.28284
87,0.002336466,2130.9626,186.08752,2130.9626
88,0.002338054,2772.3457,2772.3457,2635.775
89,0.002339649,3136.3308,3136.3308,4391.838
90,0.002341253,3581.9233,190.42104,3581.9233
91,0.002342848,4296.0957,4296.0957,3695.1033
92,0.002344395,4788.3413,4788.3413,4810.611
93,0.002345948,4474.752,160.61276,4474.752
94,0.00234752,3019.1196,3019.1196,4314.635
95,0.002349055,1347.8281,1347.8281,2200.283
96,0.002350508,557.1266,-68.29032,557.1266
97,0.002351963,1158.4504,1158.4504,1127.5094
98,0.002353468,2416.5903,2416.5903,2698.4392
99,0.00235502,3092.0642,-214.51297,3092.0642
100,0.002356561,2224.5635,2224.5635,2147.283
101,0.002358076,602.6295,602.6295,2105.7751
102,0.002359644,-688.89685,-280.52472,-688.89685
103,0.002361286,-729.89233,-729.89233,-1187.8812
104,0.002362912,-213.2201,-213.2201,-382.94373
105,0.002364528,-311.6312,-140.38994,-311.6312
106,0.002366128,-1790.613,-1790.613,-4137.4126
107,0.002367731,-4014.631,-4014.631,-6160.2876
108,0.002369329,-5985.811,-583.12714,-5985.811
109,0.002370899,-6961.801,-6961.801,-3670.936
110,0.002372496,-7203.867,-7203.867,-4000.3813
111,0.002374084,-7161.9595,169.54909,-7161.9595
112,0.002375657,-7218.3833,-7218.3833,-7875.6157
113,0.002377234,-7404.8516,-7404.8516,-8606.687
114,0.002378833,-7671.178,170.72093,-7671.178
115,0.002380382,-7812.504,-7812.504,-7099.9673
116,0.002381906,-7118.937,-7118.937,-3082.9282
117,0.002383421,-4779.147,389.52646,-4779.147
118,0.002384958,-421.47122,-421.47122,-425.52182
119,0.002386491,4068.3098,4068.3098,2855.9236
120,0.002388028,6319.931,314.13345,6319.931
121,0.002389588,4664.6797,4664.6797,2154.986
122,0.002391221,465.0382,465.0382,-4243.475
123,0.002392848,-3480.1626,433.58133,-3480.1626
124,0.002394409,-5027.1743,-5027.1743,-3295.983
125,0.002395959,-4739.0547,-4739.0547,-1827.5765
126,0.002397517,-3547.358,-42.951683,-3547.358
127,0.002399106,-2161.4778,-2161.4778,-3649.4985
128,0.002400721,-535.65607,-535.65607,944.0798
129,0.002402301,1506.65,-77.57905,1506.65
130,0.00240386,3954.858,3954.858,-815.38904
131,0.002405394,5858.7124,5858.7124,-378.5531
132,0.002406893,6143.049,-21.199898,6143.049
133,0.002408389,4259.0503,4259.0503,9143.689
134,0.002409948,1275.1606,1275.1606,5073.6504
135,0.002411534,-949.9749,152.88129,-949.9749
136,0.002413139,-936.72314,-936.72314,-702.3577
137,0.002414732,639.5676,639.5676,1371.322
138,0.002416348,2583.8843,484.30603,2583.8843
139,0.002417946,3770.7202,3770.7202,-2081.8892
140,0.002419585,3753.8303,3753.8303,-2074.2874
141,0.002421225,2169.1892,628.2687,2169.1892
142,0.002422837,-881.4881,-881.4881,474.83755
143,0.002424421,-3945.7498,-3945.7498,-3142.6782
144,0.002425958,-5387.03,259.3254,-5387.03
145,0.002427521,-4328.071,-4328.071,-2021.1547
146,0.002429128,-2149.766,-2149.766,-455.1781
147,0.002430729,-1121.639,-212.04259,-1121.639
148,0.00243232,-2784.1956,-2784.1956,-6451.905
149,0.002433845,-5828.9414,-5828.9414,-7916.8267
150,0.002435364,-8649.717,-378.8007,-8649.717
151,0.002436897,-10000.073,-10000.073,-4974.725
152,0.002438398,-9930.388,-9930.388,-5668.5923
153,0.002439936,-8832.842,-264.184,-8832.842
154,0.002441509,-6997.2144,-6997.2144,-7329.4126
155,0.002443059,-4598.795,-4598.795,-4149.53
