,time,spline,prediction,target
0,0.002209453,730.2337,-597.65,730.2337
1,0.002211022,691.17163,691.17163,2010.593
2,0.00221263,588.23883,588.23883,670.2337
3,0.002214236,903.2258,-296.68594,903.2258
4,0.002215837,1951.3174,1951.3174,1996.9133
5,0.002217412,3371.168,3371.168,2738.3274
6,0.002218998,4704.843,2654.0986,4704.843
7,0.002220604,5503.135,5503.135,6624.7573
8,0.002222232,5450.6226,5450.6226,5600.046
9,0.002223844,4293.163,3022.5015,4293.163
10,0.002225427,2031.9618,2031.9618,1884.8119
11,0.00222695,-543.41583,-543.41583,-749.1257
12,0.002228468,-2703.1648,-2453.1626,-2703.1648
13,0.002230034,-3832.752,-3832.752,-2168.641
14,0.002231606,-3783.5754,-3783.5754,-1876.985
15,0.002233156,-2664.5864,-3377.57,-2664.5864
16,0.002234742,-698.2196,-698.2196,-2206.0317
17,0.002236358,1101.1569,1101.1569,-837.36005
18,0.002237961,1428.6165,769.5513,1428.6165
19,0.002239559,-413.34857,-413.34857,745.7805
20,0.002241175,-3073.9026,-3073.9026,-3123.438
21,0.002242764,-4577.9067,-2425.388,-4577.9067
22,0.002244336,-3651.0347,-3651.0347,-2674.0552
23,0.002245947,-982.1659,-982.1659,481.64774
24,0.002247575,2125.1711,-164.81784,2125.1711
25,0.002249224,4496.528,4496.528,4086.1243
26,0.002250836,5721.4824,5721.4824,6040.3433
27,0.002252395,5755.0386,5470.2397,5755.0386
28,0.002253906,4701.8555,4701.8555,6494.507
29,0.002255378,3054.0015,3054.0015,3970.304
30,0.002256828,1314.1165,2616.9465,1314.1165
31,0.002258298,-176.43202,-176.43202,-191.72723
32,0.002259814,-1404.5276,-1404.5276,-2840.7114
33,0.002261363,-2415.8755,-489.0613,-2415.8755
34,0.002262882,-3200.6394,-3200.6394,-2586.6335
35,0.002264405,-3619.3923,-3619.3923,-2668.5552
36,0.002265955,-3449.157,-2484.5916,-3449.157
37,0.00226749,-2595.3303,-2595.3303,-3493.3054
38,0.002269034,-1462.805,-1462.805,-1674.9459
39,0.002270573,-600.8132,-1230.5586,-600.8132
40,0.002272122,-394.75525,-394.75525,-1227.6569
41,0.002273711,-642.18494,-642.18494,-1918.4225
42,0.002275292,-955.2038,-575.18396,-955.2038
43,0.002276886,-983.12225,-983.12225,-823.05536
44,0.002278541,-524.75354,-524.75354,416.7493
45,0.002280227,594.8587,668.8741,594.8587
46,0.002281963,2432.9995,2432.9995,363.35086
47,0.002283669,4312.6704,4312.6704,1631.3274
48,0.002285286,5483.6943,3586.5999,5483.6943
49,0.002286842,5591.301,5591.301,6376.2256
50,0.002288415,4830.7676,4830.7676,5054.116
51,0.002290001,3482.3977,3859.6052,3482.3977
52,0.002291578,1886.9103,1886.9103,843.0384
53,0.002293147,450.69357,450.69357,-476.13345
54,0.002294743,-420.53973,460.90515,-420.53973
55,0.002296375,-399.2653,-399.2653,968.99927
56,0.00229797,190.85576,190.85576,777.64777
57,0.002299517,858.7024,222.55838,858.7024
58,0.002301068,1292.5713,1292.5713,1682.4368
59,0.002302662,1568.8168,1568.8168,2182.4368
60,0.002304235,1852.3274,1698.0519,1852.3274
61,0.002305733,2258.5293,2258.5293,2097.632
62,0.002307235,2765.9492,2765.9492,2256.1165
63,0.00230879,3319.093,1820.4153,3319.093
