,time,baseline,S^2 case,S^2 case 0,S^2 all,S^2 probe 1,S^2 probe all,target,target
51,0.00112456,63.50732,63.50732,63.50732,63.50732,63.50732,63.50732,63.50732,63.50732
52,0.00112458,64.747986,64.747986,64.747986,64.747986,64.747986,64.747986,64.81542,64.81542
53,0.0011246,65.93043,65.93043,65.93043,65.93043,65.93043,65.93043,65.95873,65.95873
54,0.00112462,61.548218,64.674126,56.845966,59.882526,60.454334,62.664337,66.95019,66.95019
55,0.00112464,67.72446,67.72446,67.72446,67.72446,67.72446,67.72446,67.739494,67.739494
56,0.00112466,68.25694,68.25694,68.25694,68.25694,68.25694,68.25694,68.27929,68.27929
57,0.00112468,68.57299,68.57299,68.57299,68.57299,68.57299,68.57299,68.57299,68.57299
58,0.00112471,68.67739,68.67739,68.67739,68.67739,68.67739,68.67739,68.63744,68.63744
59,0.00112473,68.49325,68.49325,68.49325,68.49325,68.49325,68.49325,68.481926,68.481926
60,0.00112475,67.76929,71.28396,65.1032,64.18044,66.14017,68.4242,68.095695,68.095695
61,0.00112477,67.49145,67.49145,67.49145,67.49145,67.49145,67.49145,67.53393,67.53393
62,0.00112479,66.74971,66.74971,66.74971,66.74971,66.74971,66.74971,66.80151,66.80151
63,0.00112481,65.955315,65.955315,65.955315,65.955315,65.955315,65.955315,65.955315,65.955315
64,0.00112484,64.765976,64.765976,64.765976,64.765976,64.765976,64.765976,65.01879,65.01879
65,0.00112486,63.903973,63.903973,63.903973,63.903973,63.903973,63.903973,63.998775,63.998775
66,0.00112488,65.630356,69.0345,62.166256,62.931114,64.24942,66.54144,62.910152,62.910152
67,0.0011249,61.74791,61.74791,61.74791,61.74791,61.74791,61.74791,61.75512,61.75512
68,0.00112492,60.496677,60.496677,60.496677,60.496677,60.496677,60.496677,60.5371,60.5371
69,0.00112494,59.264885,59.264885,59.264885,59.264885,59.264885,59.264885,59.264885,59.264885
70,0.00112496,58.12969,58.12969,58.12969,58.12969,58.12969,58.12969,57.954582,57.954582
71,0.00112499,56.493374,56.493374,56.493374,56.493374,56.493374,56.493374,56.624508,56.624508
72,0.00112501,58.82911,62.12895,54.371933,56.993393,57.90073,59.911777,55.331295,55.331295
73,0.00112503,54.048775,54.048775,54.048775,54.048775,54.048775,54.048775,54.04614,54.04614
74,0.00112505,52.711308,52.711308,52.711308,52.711308,52.711308,52.711308,52.748283,52.748283
75,0.00112507,51.413326,51.413326,51.413326,51.413326,51.413326,51.413326,51.413326,51.413326
76,0.00112509,50.225624,50.225624,50.225624,50.225624,50.225624,50.225624,50.070797,50.070797
77,0.00112512,48.591656,48.591656,48.591656,48.591656,48.591656,48.591656,48.764885,48.764885
78,0.00112514,50.67026,54.10289,46.44509,49.2255,49.959106,52.14797,47.531734,47.531734
79,0.00112516,46.46252,46.46252,46.46252,46.46252,46.46252,46.46252,46.414303,46.414303
80,0.00112518,45.448708,45.448708,45.448708,45.448708,45.448708,45.448708,45.42553,45.42553
81,0.0011252,44.577385,44.577385,44.577385,44.577385,44.577385,44.577385,44.577385,44.577385
82,0.00112522,43.914448,43.914448,43.914448,43.914448,43.914448,43.914448,43.88183,43.88183
83,0.00112524,43.440937,43.440937,43.440937,43.440937,43.440937,43.440937,43.353264,43.353264
84,0.00112527,44.031525,47.988018,41.084316,42.125015,43.23121,45.65958,42.998043,42.998043
85,0.00112529,42.839703,42.839703,42.839703,42.839703,42.839703,42.839703,42.822018,42.822018
86,0.00112531,42.833675,42.833675,42.833675,42.833675,42.833675,42.833675,42.8352,42.8352
87,0.00112533,43.04321,43.04321,43.04321,43.04321,43.04321,43.04321,43.04321,43.04321
88,0.00112535,43.509068,43.509068,43.509068,43.509068,43.509068,43.509068,43.460197,43.460197
89,0.00112537,44.18211,44.18211,44.18211,44.18211,44.18211,44.18211,44.120846,44.120846
90,0.00112539,42.13455,46.41294,39.804646,39.49957,41.309124,43.6208,44.99072,44.99072
91,0.00112541,45.88529,45.88529,45.88529,45.88529,45.88529,45.88529,46.069572,46.069572
92,0.00112544,47.4794,47.4794,47.4794,47.4794,47.4794,47.4794,47.346672,47.346672
93,0.00112546,48.79858,48.79858,48.79858,48.79858,48.79858,48.79858,48.79858,48.79858
