,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
49,0.00112451,-175.2818,-175.2818,-175.2818,-175.2818,-175.2818,-175.2818,-174.91289,-174.91289
50,0.00112453,-172.45659,-172.45659,-172.45659,-172.45659,-172.45659,-172.45659,-171.5181,-171.5181
51,0.00112456,-168.11404,-168.11404,-168.11404,-168.11404,-168.11404,-168.11404,-168.11404,-168.11404
52,0.00112458,-164.89313,-164.89313,-164.89313,-164.89313,-164.89313,-164.89313,-164.70242,-164.70242
53,0.0011246,-161.4478,-161.4478,-161.4478,-161.4478,-161.4478,-161.4478,-161.29373,-161.29373
54,0.00112462,-173.94829,-173.63895,-170.59117,-171.7377,-171.68584,-173.53934,-157.89383,-157.89383
55,0.00112464,-154.34496,-154.34496,-154.34496,-154.34496,-154.34496,-154.34496,-154.49954,-154.49954
56,0.00112466,-150.9072,-150.9072,-150.9072,-150.9072,-150.9072,-150.9072,-151.0989,-151.0989
57,0.00112468,-147.6846,-147.6846,-147.6846,-147.6846,-147.6846,-147.6846,-147.6846,-147.6846
58,0.00112471,-143.29651,-143.29651,-143.29651,-143.29651,-143.29651,-143.29651,-144.24393,-144.24393
59,0.00112473,-140.39459,-140.39459,-140.39459,-140.39459,-140.39459,-140.39459,-140.76663,-140.76663
60,0.00112475,-152.15872,-151.2926,-147.90201,-149.1911,-149.9899,-151.57726,-137.24857,-137.24857
61,0.00112477,-133.72157,-133.72157,-133.72157,-133.72157,-133.72157,-133.72157,-133.68997,-133.68997
62,0.00112479,-130.03069,-130.03069,-130.03069,-130.03069,-130.03069,-130.03069,-130.10013,-130.10013
63,0.00112481,-126.481476,-126.481476,-126.481476,-126.481476,-126.481476,-126.481476,-126.481476,-126.481476
64,0.00112484,-121.76364,-121.76364,-121.76364,-121.76364,-121.76364,-121.76364,-122.83011,-122.83011
65,0.00112486,-118.71459,-118.71459,-118.71459,-118.71459,-118.71459,-118.71459,-119.142365,-119.142365
66,0.00112488,-129.66315,-129.33804,-123.90933,-128.01686,-128.18195,-128.76715,-115.41849,-115.41849
67,0.0011249,-111.699684,-111.699684,-111.699684,-111.699684,-111.699684,-111.699684,-111.65628,-111.65628
68,0.00112492,-107.79095,-107.79095,-107.79095,-107.79095,-107.79095,-107.79095,-107.85721,-107.85721
69,0.00112494,-104.02714,-104.02714,-104.02714,-104.02714,-104.02714,-104.02714,-104.02714,-104.02714
70,0.00112496,-100.64038,-100.64038,-100.64038,-100.64038,-100.64038,-100.64038,-100.173615,-100.173615
71,0.00112499,-95.84418,-95.84418,-95.84418,-95.84418,-95.84418,-95.84418,-96.303986,-96.303986
72,0.00112501,-106.339714,-105.70896,-100.94163,-105.47369,-103.43689,-104.885506,-92.42557,-92.42557
73,0.00112503,-88.60538,-88.60538,-88.60538,-88.60538,-88.60538,-88.60538,-88.54862,-88.54862
74,0.00112505,-84.62051,-84.62051,-84.62051,-84.62051,-84.62051,-84.62051,-84.67532,-84.67532
75,0.00112507,-80.811554,-80.811554,-80.811554,-80.811554,-80.811554,-80.811554,-80.811554,-80.811554
76,0.00112509,-77.41561,-77.41561,-77.41561,-77.41561,-77.41561,-77.41561,-76.967316,-76.967316
77,0.00112512,-72.676895,-72.676895,-72.676895,-72.676895,-72.676895,-72.676895,-73.14725,-73.14725
78,0.00112514,-82.54265,-82.75352,-77.28677,-81.21392,-80.27357,-81.098,-69.34573,-69.34573
79,0.00112516,-65.64966,-65.64966,-65.64966,-65.64966,-65.64966,-65.64966,-65.57327,-65.57327
80,0.00112518,-61.807163,-61.807163,-61.807163,-61.807163,-61.807163,-61.807163,-61.835236,-61.835236
81,0.0011252,-58.136505,-58.136505,-58.136505,-58.136505,-58.136505,-58.136505,-58.136505,-58.136505
82,0.00112522,-54.865723,-54.865723,-54.865723,-54.865723,-54.865723,-54.865723,-54.485382,-54.485382
83,0.00112524,-51.86198,-51.86198,-51.86198,-51.86198,-51.86198,-51.86198,-50.891632,-50.891632
84,0.00112527,-60.593018,-62.51003,-56.466423,-58.68569,-59.06807,-58.9325,-47.369167,-47.369167
85,0.00112529,-44.116222,-44.116222,-44.116222,-44.116222,-44.116222,-44.116222,-43.923122,-43.923122
86,0.00112531,-40.703667,-40.703667,-40.703667,-40.703667,-40.703667,-40.703667,-40.554962,-40.554962
87,0.00112533,-37.26248,-37.26248,-37.26248,-37.26248,-37.26248,-37.26248,-37.26248,-37.26248
88,0.00112535,-33.913727,-33.913727,-33.913727,-33.913727,-33.913727,-33.913727,-34.043976,-34.043976
89,0.00112537,-30.738901,-30.738901,-30.738901,-30.738901,-30.738901,-30.738901,-30.894072,-30.894072
90,0.00112539,-41.026024,-39.446983,-34.651073,-36.49139,-38.37636,-36.284184,-27.809599,-27.809599
91,0.00112541,-25.160063,-25.160063,-25.160063,-25.160063,-25.160063,-25.160063,-24.787138,-24.787138
92,0.00112544,-21.4467,-21.4467,-21.4467,-21.4467,-21.4467,-21.4467,-21.82498,-21.82498
93,0.00112546,-18.922636,-18.922636,-18.922636,-18.922636,-18.922636,-18.922636,-18.922636,-18.922636
94,0.00112548,-16.223639,-16.223639,-16.223639,-16.223639,-16.223639,-16.223639,-16.078886,-16.078886
95,0.0011255,-13.406203,-13.406203,-13.406203,-13.406203,-13.406203,-13.406203,-13.293486,-13.293486
96,0.00112552,-20.815302,-20.502663,-18.42032,-17.568892,-20.559301,-19.257076,-10.568632,-10.568632
97,0.00112554,-7.804829,-7.804829,-7.804829,-7.804829,-7.804829,-7.804829,-7.908476,-7.908476
98,0.00112556,-5.191098,-5.191098,-5.191098,-5.191098,-5.191098,-5.191098,-5.316679,-5.316679
99,0.00112558,-2.799345,-2.799345,-2.799345,-2.799345,-2.799345,-2.799345,-2.799345,-2.799345
100,0.00112561,0.3318647,0.3318647,0.3318647,0.3318647,0.3318647,0.3318647,-0.35891518,-0.35891518
101,0.00112563,2.2790418,2.2790418,2.2790418,2.2790418,2.2790418,2.2790418,2.0009482,2.0009482
102,0.00112565,-4.133037,-4.072659,-3.0949645,-0.8004078,-4.6376038,-3.7087028,4.272921,4.272921
103,0.00112567,6.3992558,6.3992558,6.3992558,6.3992558,6.3992558,6.3992558,6.4538293,6.4538293
104,0.00112569,8.541882,8.541882,8.541882,8.541882,8.541882,8.541882,8.540988,8.540988
105,0.00112571,10.534151,10.534151,10.534151,10.534151,10.534151,10.534151,10.534151,10.534151
106,0.00112573,12.257801,12.257801,12.257801,12.257801,12.257801,12.257801,12.437472,12.437472
107,0.00112575,13.788089,13.788089,13.788089,13.788089,13.788089,13.788089,14.255588,14.255588
108,0.00112578,8.812368,8.9640465,10.314093,11.7508745,7.6474624,8.199632,15.991427,15.991427
109,0.0011258,17.545206,17.545206,17.545206,17.545206,17.545206,17.545206,17.642796,17.642796
110,0.00112582,19.134216,19.134216,19.134216,19.134216,19.134216,19.134216,19.205782,19.205782
