,time,spline,prediction,target
0,0.002201293,-206.12654,-206.12654,-206.12654
1,0.00220284,-1163.1748,-1163.1748,-826.88434
2,0.002204407,-1536.9921,-1536.9921,-1244.0366
3,0.002205983,-1469.2983,-1469.2983,-1469.2983
4,0.002207551,-1121.2985,-1121.2985,-1295.0485
5,0.002209135,-649.05273,-649.05273,-877.9781
6,0.002210766,-209.79062,-209.79062,-209.79062
7,0.002212406,38.557995,38.557995,-158.0914
8,0.002214019,86.50167,86.50167,-26.056248
9,0.00221557,-26.329683,-26.329683,-26.329683
10,0.002217123,-250.23253,-250.23253,6.201565
11,0.002218682,-455.2144,-455.2144,-240.11093
12,0.002220229,-487.7164,-487.7164,-487.7164
13,0.002221776,-251.35756,-251.35756,-611.5601
14,0.002223342,149.63875,149.63875,-285.5875
15,0.002224955,556.8109,556.8109,556.8109
16,0.002226585,795.5616,795.5616,1211.0726
17,0.002228137,771.2001,771.2001,1437.0687
18,0.002229664,438.4906,208.63623,438.4906
19,0.00223122,-209.62352,-209.62352,-612.4078
20,0.002232821,-879.0167,-879.0167,-932.81793
21,0.00223441,-1139.9038,-1139.9038,-1139.9038
22,0.002235993,-751.67883,-751.67883,-559.4156
23,0.002237559,-101.59731,-101.59731,519.3656
24,0.00223913,293.80704,293.80704,293.80704
25,0.002240735,47.04731,47.04731,48.01016
26,0.002242346,-625.66724,-625.66724,-536.69684
27,0.00224393,-1320.1616,-921.9493,-1320.1616
28,0.002245513,-1737.7498,-1737.7498,-2461.5796
29,0.002247129,-1841.5331,-1841.5331,-2302.5874
30,0.002248769,-1647.5405,-1647.5405,-1647.5405
31,0.002250386,-1217.359,-1217.359,-778.89606
32,0.002251966,-708.71014,-708.71014,-272.5992
33,0.002253551,-271.025,-271.025,-271.025
34,0.002255128,-31.635973,-31.635973,-124.649994
35,0.002256651,25.517422,25.517422,-205.7789
36,0.002258137,-42.591404,-351.50705,-42.591404
37,0.002259616,-188.41754,-188.41754,-416.4781
38,0.002261101,-353.15396,-353.15396,-184.09921
39,0.002262631,-474.12265,-474.12265,-474.12265
40,0.002264207,-502.70673,-502.70673,-868.0328
41,0.002265789,-504.20413,-504.20413,-773.31793
42,0.002267359,-577.7281,-577.7281,-577.7281
43,0.002268964,-794.9697,-794.9697,-730.107
44,0.002270574,-1088.0939,-1088.0939,-974.96246
45,0.00227218,-1352.1969,-1115.4535,-1352.1969
46,0.002273837,-1501.6599,-1501.6599,-1656.6655
47,0.002275483,-1494.0798,-1494.0798,-1699.7163
48,0.002277095,-1319.185,-1319.185,-1319.185
49,0.00227867,-992.3012,-992.3012,-1095.7437
50,0.002280205,-605.14685,-605.14685,-687.0562
51,0.002281758,-243.27109,-243.27109,-243.27109
52,0.002283331,1.9624784,1.9624784,-199.4039
53,0.002284881,74.95578,74.95578,177.81483
54,0.002286449,-61.29062,-324.83408,-61.29062
55,0.002288065,-425.40292,-425.40292,-21.423435
56,0.002289696,-866.31244,-866.31244,-597.75543
57,0.002291329,-1182.525,-1182.525,-1182.525
58,0.002292986,-1230.9083,-1230.9083,-1269.8022
59,0.002294612,-1104.4762,-1104.4762,-1203.6813
60,0.002296191,-958.3179,-958.3179,-958.3179
61,0.00229776,-902.0518,-902.0518,-1077.814
62,0.002299326,-948.722,-948.722,-984.70465
63,0.002300855,-1084.2827,-1569.1703,-1084.2827
64,0.002302375,-1278.5862,-1278.5862,-1273.5952
65,0.002303995,-1429.5662,-1429.5662,-1137.103
66,0.002305666,-1364.9077,-1364.9077,-1364.9077
67,0.00230733,-992.3497,-992.3497,-1546.3062
68,0.002308955,-555.4622,-555.4622,-1001.7749
69,0.002310558,-341.82187,-341.82187,-341.82187
70,0.002312152,-513.671,-513.671,259.26794
71,0.00231371,-793.6282,-793.6282,91.1
72,0.002315263,-827.6031,-447.25665,-827.6031
73,0.002316803,-392.5894,-392.5894,445.33044
74,0.002318362,264.1229,264.1229,104.93984
