,time,spline,prediction,target
0,0.010740329,-893.3678,-33.179363,-893.3678
1,0.010741861,-718.2705,-718.2705,-43.79934
2,0.010743357,-499.4492,-499.4492,661.318
3,0.010744838,-242.95059,798.7181,1218.7645
4,0.010746344,51.77209,51.77209,1500.5643
5,0.01074792,389.33313,389.33313,1436.9591
6,0.010749577,767.8384,2073.2517,614.9835
7,0.010751251,1165.5787,1165.5787,110.7003
8,0.010752947,1574.6135,1574.6135,529.1518
9,0.010754603,1970.5049,2665.108,1379.9261
10,0.010756259,2353.699,2353.699,2353.699
11,0.01075788,2707.6782,2707.6782,2542.8555
12,0.010759481,3028.3171,-358.19684,3160.2297
13,0.010761086,3312.4976,3312.4976,3196.242
14,0.010762686,3550.3674,3550.3674,2941.227
15,0.010764275,3733.5393,-124.62302,3148.5305
16,0.010765861,3855.5437,3855.5437,2729.9978
17,0.010767436,3908.611,3908.611,3328.015
18,0.010769019,3885.5955,-233.78049,3668.6907
19,0.010770614,3776.8784,3776.8784,3800.0786
20,0.002200074,-1143.1818,-1143.1818,-1143.1818
21,0.002201603,-949.74884,-377.10147,-992.56226
22,0.002203141,-793.8444,-793.8444,-965.9352
23,0.002204697,-671.4482,-671.4482,-554.7669
24,0.002206301,-578.0559,-345.25803,-303.16174
25,0.002207887,-513.9741,-513.9741,-540.29095
26,0.002209453,-473.91656,-473.91656,-893.95215
27,0.002211022,-452.60703,63.65223,-1104.7941
28,0.00221263,-445.82132,-445.82132,-1186.1969
29,0.002214236,-449.67136,-449.67136,-1028.657
30,0.002215837,-459.49158,265.88782,-459.49158
31,0.002217412,-470.5404,-470.5404,17.063074
32,0.002218998,-478.62616,-478.62616,232.26234
33,0.002220604,-479.16904,585.7374,-144.58014
34,0.002222232,-467.15738,-467.15738,-592.999
35,0.002223844,-438.10416,-438.10416,-1165.5245
36,0.002225427,-388.42886,1476.1478,-1273.669
37,0.00222695,-316.7171,-316.7171,-634.6072
38,0.002228468,-217.93677,-217.93677,-381.3219
39,0.002230034,-83.337326,1617.2938,198.11134
40,0.002231606,89.436646,89.436646,89.436646
41,0.002233156,298.244,298.244,214.41986
42,0.002234742,541.6339,1273.7732,233.52638
43,0.002236358,807.2828,807.2828,-450.8244
44,0.002237961,1075.0121,1075.0121,-449.00775
45,0.002239559,1332.7816,933.62714,-371.5082
46,0.002241175,1570.6802,1570.6802,6.347415
47,0.002242764,1769.0641,1769.0641,599.6532
48,0.002244336,1917.8304,610.2803,1237.0697
49,0.002245947,2008.062,2008.062,1799.3212
50,0.002247575,2021.5583,2021.5583,2021.5583
51,0.002249224,1946.8861,491.23376,2049.5037
52,0.002250836,1800.542,1800.542,1878.215
53,0.002252395,1606.5696,1606.5696,1902.4729
54,0.002253906,1384.4374,326.89795,2604.5105
55,0.002255378,1149.5723,1149.5723,2740.057
56,0.002256828,913.4351,913.4351,1851.2606
57,0.002258298,682.2809,220.47104,1727.8082
58,0.002259814,466.52066,466.52066,1001.2967
59,0.002261363,284.73932,284.73932,201.30954
60,0.002262882,159.26947,655.76575,159.26947
61,0.002264405,96.671715,96.671715,-414.0469
62,0.002265955,92.23276,92.23276,131.39732
63,0.00226749,136.94063,526.61646,1585.2588
64,0.002269034,221.30275,221.30275,2324.093
65,0.002270573,334.84634,334.84634,3218.73
66,0.002272122,468.85068,470.693,2760.1511
67,0.002273711,616.38,616.38,2181.5564
68,0.002275292,762.63904,762.63904,1586.8944
69,0.002276886,898.7173,602.7624,1479.3154
70,0.002278541,1016.2205,1016.2205,1016.2205
71,0.002280227,1101.6073,1101.6073,549.867
72,0.002281963,1156.1566,717.4115,448.9321
73,0.002283669,1182.7484,1182.7484,567.9604
74,0.002285286,1188.6222,1188.6222,633.07697
