,time,spline,prediction probe,prediction case,prediction cases across domain,target
85,0.01096961,10630.331,10630.331,10630.331,10630.331,5980.1167
86,0.010971158,11981.344,11981.344,11981.344,11981.344,8259.78
87,0.01097271,12419.78,9532.294,9883.974,10708.867,12419.78
88,0.010974301,11943.496,11943.496,11943.496,11943.496,7896.5073
89,0.010975925,10405.415,10405.415,10405.415,10405.415,4919.429
90,0.010977543,7701.4683,9690.745,4474.99,6035.236,7701.4683
91,0.010979122,4130.0786,4130.0786,4130.0786,4130.0786,3497.976
92,0.010980632,1158.4484,1158.4484,1158.4484,1158.4484,1158.0074
93,0.010982107,140.10117,936.6012,7215.0967,951.44336,140.10117
94,0.010983611,1902.1885,1902.1885,1902.1885,1902.1885,736.6871
95,0.010985197,5229.083,5229.083,5229.083,5229.083,4985.656
96,0.01098682,7770.929,6068.7305,1591.1676,1816.3372,7770.929
97,0.010988459,7633.3,7633.3,7633.3,7633.3,4148.14
98,0.0109901,5872.779,5872.779,5872.779,5872.779,4738.202
99,0.010991729,4333.187,6144.5654,4429.109,5877.12,4333.187
100,0.010993373,4320.5586,4320.5586,4320.5586,4320.5586,3230.4448
101,0.010994974,5161.8433,5161.8433,5161.8433,5161.8433,1825.9683
102,0.010996558,5753.7026,4683.8823,14.894146,1951.3912,5753.7026
103,0.010998151,5304.4756,5304.4756,5304.4756,5304.4756,8461.594
104,0.01099981,3972.5317,3972.5317,3972.5317,3972.5317,4224.562
105,0.011001479,2289.2573,3667.0703,1193.4257,6859.735,2289.2573
106,0.01100313,688.60223,688.60223,688.60223,688.60223,-2653.672
107,0.01100476,-994.5794,-994.5794,-994.5794,-994.5794,-1547.3207
108,0.011006366,-3048.0784,-601.4219,-56.057888,1820.1879,-3048.0784
109,0.011007968,-5629.362,-5629.362,-5629.362,-5629.362,-7900.571
110,0.011009566,-8289.714,-8289.714,-8289.714,-8289.714,-7142.836
111,0.011011167,-10448.953,-8363.952,-8225.634,-6226.3657,-10448.953
112,0.011012782,-11694.736,-11694.736,-11694.736,-11694.736,-9742.5625
113,0.011014423,-12317.456,-12317.456,-12317.456,-12317.456,-14235.438
114,0.011016029,-12788.352,-10879.048,-10518.295,-9722.082,-12788.352
115,0.011017539,-13363.552,-13363.552,-13363.552,-13363.552,-9358.305
116,0.011019017,-13600.042,-13600.042,-13600.042,-13600.042,-15045.446
117,0.011020517,-12881.375,-11474.274,-8300.27,-9890.818,-12881.375
118,0.011022069,-10768.569,-10768.569,-10768.569,-10768.569,-10569.82
119,0.01102369,-8054.056,-8054.056,-8054.056,-8054.056,-5881.453
120,0.011025257,-6221.0005,-11488.82,-5237.1943,-6941.2275,-6221.0005
121,0.011026752,-5926.4316,-5926.4316,-5926.4316,-5926.4316,-5681.477
122,0.011028232,-5983.084,-5983.084,-5983.084,-5983.084,-4223.3984
123,0.011029775,-4821.6724,-6825.3413,-3172.9993,-2062.1829,-4821.6724
124,0.011031365,-1286.2991,-1286.2991,-1286.2991,-1286.2991,-4980.453
125,0.011032904,2822.1143,2822.1143,2822.1143,2822.1143,1264.023
126,0.011034419,5415.6636,2678.6821,-2379.6135,3689.5217,5415.6636
127,0.011035942,5119.615,5119.615,5119.615,5119.615,2861.8354
128,0.011037502,2908.915,2908.915,2908.915,2908.915,442.39804
129,0.011039119,497.03085,4394.8027,-1443.8611,2907.7004,497.03085
130,0.011040751,-540.43,-540.43,-540.43,-540.43,4009.7573
131,0.011042394,-624.8357,-624.8357,-624.8357,-624.8357,1735.9761
132,0.011044038,-713.54724,-328.2942,-2192.5544,-1146.1202,-713.54724
133,0.011045625,-1446.1654,-1446.1654,-1446.1654,-1446.1654,-7503.5703
134,0.011047194,-2347.435,-2347.435,-2347.435,-2347.435,-8280.742
135,0.011048772,-2714.1565,-1996.2925,-3355.6614,-1548.0946,-2714.1565
136,0.011050377,-1885.1656,-1885.1656,-1885.1656,-1885.1656,10.538677
137,0.011052008,491.14017,491.14017,491.14017,491.14017,3638.9602
138,0.011053621,4560.015,318.42584,-4508.01,-1712.9569,4560.015
139,0.011055265,10153.609,10153.609,10153.609,10153.609,8088.788
140,0.01105691,14837.918,14837.918,14837.918,14837.918,14555.132
141,0.011058502,15773.569,11010.539,8850.392,6809.964,15773.569
142,0.01106007,11718.737,11718.737,11718.737,11718.737,10482.64
143,0.011061661,5451.2144,5451.2144,5451.2144,5451.2144,1748.2496
