,time,spline,prediction probe,prediction one case,prediction all case,target
86,0.010938357,-8999.618,-8999.618,-8999.618,-8999.618,668.76025
87,0.010939981,-7608.9116,470.91687,129.43715,-1630.1904,-7608.9116
88,0.01094161,-3671.3574,-3671.3574,-3671.3574,-3671.3574,-7201.388
89,0.01094318,378.10608,378.10608,378.10608,378.10608,3318.9636
90,0.010944733,1997.2526,975.6674,-196.16426,-1663.9412,1997.2526
91,0.010946315,-542.1699,-542.1699,-542.1699,-542.1699,-13548.076
92,0.01094794,-5570.3257,-5570.3257,-5570.3257,-5570.3257,-13662.044
93,0.010949585,-10096.264,2343.8875,-187.63777,-2144.5771,-10096.264
94,0.010951235,-11631.477,-11631.477,-11631.477,-11631.477,-8702.584
95,0.01095288,-10521.948,-10521.948,-10521.948,-10521.948,-8523.264
96,0.010954498,-7878.599,1198.9126,-105.43424,-2447.7217,-7878.599
97,0.01095616,-4560.9204,-4560.9204,-4560.9204,-4560.9204,-5123.3335
98,0.010957825,-1425.722,-1425.722,-1425.722,-1425.722,-475.13037
99,0.010959473,750.45557,-766.97906,503.80536,-3291.1565,750.45557
100,0.010961059,1434.8055,1434.8055,1434.8055,1434.8055,-2950.0366
101,0.010962601,843.3774,843.3774,843.3774,843.3774,-2005.4585
102,0.01096413,-759.6304,1932.4603,233.59473,-2649.3481,-759.6304
103,0.010965672,-3094.8264,-3094.8264,-3094.8264,-3094.8264,-2012.1226
104,0.010967248,-5490.6084,-5490.6084,-5490.6084,-5490.6084,-7076.951
105,0.010968872,-7064.0757,2609.1963,265.2713,-791.8923,-7064.0757
106,0.010970533,-7034.215,-7034.215,-7034.215,-7034.215,-2134.599
107,0.010972181,-5729.015,-5729.015,-5729.015,-5729.015,-2199.9116
108,0.010973826,-3782.7556,842.8467,-15.104933,-375.6339,-3782.7556
109,0.010975429,-1824.8506,-1824.8506,-1824.8506,-1824.8506,41.064945
110,0.010977025,-214.56366,-214.56366,-214.56366,-214.56366,3286.9556
111,0.010978657,708.8931,1168.3688,-2.242635,81.85923,708.8931
112,0.010980313,717.4348,717.4348,717.4348,717.4348,-2270.2085
113,0.010981953,437.7718,437.7718,437.7718,437.7718,3449.0571
114,0.010983541,678.6509,2665.3713,6.4031014,432.02542,678.6509
115,0.010985089,1879.5519,1879.5519,1879.5519,1879.5519,-3481.2007
116,0.010986615,3485.4788,3485.4788,3485.4788,3485.4788,-1877.4429
117,0.010988148,4768.9946,5513.7085,586.84875,372.27066,4768.9946
118,0.010989725,5172.2837,5172.2837,5172.2837,5172.2837,1742.5884
119,0.010991337,4917.1577,4917.1577,4917.1577,4917.1577,-2088.435
120,0.010992987,4505.315,6595.159,302.93637,-201.57433,4505.315
121,0.010994643,4402.557,4402.557,4402.557,4402.557,6409.5103
122,0.010996271,4663.0537,4663.0537,4663.0537,4663.0537,6075.1743
123,0.010997849,5219.1123,7681.4556,119.29096,-301.83298,5219.1123
124,0.010999403,5923.897,5923.897,5923.897,5923.897,5960.354
125,0.011000926,6256.6665,6256.6665,6256.6665,6256.6665,2180.354
126,0.011002422,5663.7056,8318.409,28.663519,-172.85562,5663.7056
127,0.011003922,3862.562,3862.562,3862.562,3862.562,11055.097
128,0.01100545,1621.2238,1621.2238,1621.2238,1621.2238,4147.4946
129,0.011007022,82.48682,7528.106,-300.13394,-797.8505,82.48682
130,0.011008638,154.38948,154.38948,154.38948,154.38948,4297.9478
131,0.011010277,993.3149,993.3149,993.3149,993.3149,1187.7916
132,0.011011905,1188.1587,6719.4663,-427.49615,-2293.6245,1188.1587
133,0.01101355,-186.69873,-186.69873,-186.69873,-186.69873,-3210.5444
134,0.011015206,-2080.0083,-2080.0083,-2080.0083,-2080.0083,-6006.3022
135,0.011016889,-2879.021,3430.4854,-448.95438,-2776.3066,-2879.021
136,0.011018571,-1342.0066,-1342.0066,-1342.0066,-1342.0066,1891.4166
137,0.01102021,1764.7795,1764.7795,1764.7795,1764.7795,4887.401
138,0.011021761,5202.6274,3548.1016,-373.03644,-2832.9717,5202.6274
139,0.011023281,8212.249,8212.249,8212.249,8212.249,2012.7759
140,0.011024776,10247.642,10247.642,10247.642,10247.642,5299.1353
141,0.011026282,10847.987,8595.961,218.53687,-846.4949,10847.987
142,0.011027775,9717.742,9717.742,9717.742,9717.742,5238.7446
143,0.011029279,7469.763,7469.763,7469.763,7469.763,1474.354
144,0.011030814,4922.081,11005.013,593.6932,-1687.3853,4922.081
145,0.011032382,2962.6348,2962.6348,2962.6348,2962.6348,11453.519
146,0.011034002,2433.1353,2433.1353,2433.1353,2433.1353,6505.9087
147,0.011035657,4290.0103,10324.945,586.0952,-1788.7234,4290.0103
148,0.011037229,8496.31,8496.31,8496.31,8496.31,5620.026
149,0.011038765,12842.277,12842.277,12842.277,12842.277,13711.269
150,0.011040308,14852.55,11319.251,520.21857,-511.56458,14852.55
151,0.011041872,12875.125,12875.125,12875.125,12875.125,13954.003
152,0.011043473,9292.725,9292.725,9292.725,9292.725,13096.542
153,0.011045115,7933.167,12652.211,527.0314,-539.76416,7933.167
154,0.011046711,11440.105,11440.105,11440.105,11440.105,13133.822
155,0.011048296,17059.271,17059.271,17059.271,17059.271,18386.674
156,0.011049898,20990.66,14246.033,424.90753,-709.8559,20990.66
157,0.011051552,20162.316,20162.316,20162.316,20162.316,13918.736
158,0.01105319,15762.011,15762.011,15762.011,15762.011,10902.011
159,0.011054861,10074.128,14962.901,338.30936,-961.1505,10074.128
160,0.011056528,5200.176,5200.176,5200.176,5200.176,9609.698
161,0.011058155,1283.0277,1283.0277,1283.0277,1283.0277,2754.526
162,0.01105975,-2131.9272,14423.186,235.7899,-611.86774,-2131.9272
163,0.01106134,-5383.804,-5383.804,-5383.804,-5383.804,-5170.568
164,0.011062948,-8368.678,-8368.678,-8368.678,-8368.678,-6890.115
165,0.011064547,-10780.889,6934.917,324.4236,-1097.4678,-10780.889
166,0.011066102,-12367.681,-12367.681,-12367.681,-12367.681,-11074.231
167,0.011067648,-13035.448,-13035.448,-13035.448,-13035.448,-13522.889
168,0.011069208,-12634.787,-1547.346,302.42523,-2348.6892,-12634.787
169,0.011070788,-11041.192,-11041.192,-11041.192,-11041.192,-3970.2397
170,0.011072365,-8455.011,-8455.011,-8455.011,-8455.011,-3525.9116
171,0.011073898,-5241.4272,-5161.5015,204.92886,-2551.0786,-5241.4272
172,0.011075415,-1769.5553,-1769.5553,-1769.5553,-1769.5553,-5494.1694
173,0.011076975,1091.9727,1091.9727,1091.9727,1091.9727,-3286.6772
174,0.011078544,2045.2291,381.70544,96.20931,-2033.5178,2045.2291
175,0.011080115,334.59528,334.59528,334.59528,334.59528,2041.065
176,0.011081724,-2903.7002,-2903.7002,-2903.7002,-2903.7002,1425.1274
177,0.011083371,-5876.2476,3046.7786,-127.468124,-1462.3401,-5876.2476
178,0.011084985,-6962.078,-6962.078,-6962.078,-6962.078,-5004.1147
179,0.011086602,-6326.981,-6326.981,-6326.981,-6326.981,-4235.693
180,0.01108822,-4457.318,2556.2727,-40.47825,-1798.7675,-4457.318
181,0.011089807,-1936.316,-1936.316,-1936.316,-1936.316,-5046.9116
182,0.011091359,561.64166,561.64166,561.64166,561.64166,-1439.4819
183,0.011092912,2446.9556,1664.7166,33.039345,-411.96555,2446.9556
184,0.011094465,3293.394,3293.394,3293.394,3293.394,1481.9165
185,0.011096011,3545.886,3545.886,3545.886,3545.886,3352.2368
